base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.0,1,1,0.45670126665238114,0.0005859535454610732,1.0,0.0,0.0,0.0
even_process,0.0,1,2,0.4346750661208,0.0005041914714741821,1.0,0.0,0.0,0.0
even_process,0.0,1,3,0.4276672240557839,0.0006875573076948521,0.913561589039726,0.000492125888866996,0.20522716095834684,0.0008112822525940879
even_process,0.0,1,4,0.4122655846845567,0.0004982565027605434,0.9038819963123848,0.015948746979692098,0.23435489278899696,0.03160752687011224
even_process,0.0,1,5,0.40735375955257574,0.0007020997790588609,0.9214095528582323,0.026427679504023627,0.2562246093543302,0.06175763474684982
even_process,0.0,1,6,0.3965658338272917,0.0003478292120159838,0.9041558068165483,0.03983453895145155,0.34222296789612916,0.10668925972349692
even_process,0.0,1,7,0.39304166791274664,0.00018663786311434515,0.8724861243062152,0.0437502022865016,0.47173576527936323,0.07962557886505356
even_process,0.0,1,8,0.38569590210246935,0.00042889019882781654,0.8337331474895462,0.030324139478857044,0.6078236486078662,0.060705653505774594
even_process,0.0,1,9,0.3832191235614505,0.0006035134767108167,0.7945134070879429,0.03995163148143775,0.7321911942476635,0.06307939560300231
even_process,0.0,1,10,0.37895708268030337,0.0015608760536474679,0.7649813424672945,0.045095089294930585,0.8549426360190076,0.06253157701306672